calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Virgen de las Huertas;Virgen de las Huertas;Virgen de las;Huertas;2;female;religiosa;unclassified;
Calle Concha Espina;Concha Espina;Concha;Espina;2;female;escritora;unclassified;https://en.wikipedia.org/wiki/Concha_Espina
Calle Gabriela Sánchez Aranda;Gabriela Sánchez Aranda;Gabriela Sánchez;Aranda;2;female;historica;residential;
Calle Pilar de Gracia;Pilar de Gracia;Pilar de;Gracia;2;female;religiosa;unclassified;
Calle Sor Milagros;Sor Milagros;Sor;Milagros;2;female;religiosa;residential;
Glorieta Mar Cambrollé;Glorieta Mar Cambrollé;Glorieta Mar;Cambrollé;2;female;politica;primary;https://es.wikipedia.org/wiki/Mar_Cambrollé
Calle Virgen del Sol;Virgen del Sol;Virgen del;Sol;2;female;religiosa;tertiary;
Calle Santa María Mazzarello;Santa María Mazzarello;Santa María;Mazzarello;2;female;santa;residential;https://es.wikipedia.org/wiki/María_Mazzarello
Calle Santa Joaquina de Vedruna;Santa Joaquina de Vedruna;Santa Joaquina de;Vedruna;2;female;santa;residential;https://es.wikipedia.org/wiki/Joaquina_de_Vedruna
Calle Doña María de Molina;Doña María de Molina;Doña María de;Molina;2;female;historica;residential;https://es.wikipedia.org/wiki/María_de_Molina
Calle Virgen de la Luz;Virgen de la Luz;Virgen de la;Luz;2;female;religiosa;pedestrian;https://es.wikipedia.org/wiki/Virgen_de_la_Luz_(Tarifa)
Calle Clara de Jesús Montero;Clara de Jesús Montero;Clara de Jesús;Montero;2;female;religiosa;secondary;
Calle Virgen del Refugio;Virgen del Refugio;Virgen del;Refugio;2;female;religiosa;residential;
Calle Virgen de Todos Los Santos;Virgen de Todos Los Santos;Virgen de Todos Los;Santos;2;female;religiosa;pedestrian;
Calle Virgen del Monte;Virgen del Monte;Virgen del;Monte;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Virgen_del_Monte_(Bolaños_de_Calatrava)
Calle Enriqueta Delicado;Enriqueta Delicado;Enriqueta;Delicado;2;female;historica;service;
Calle Virgen del Pino;Virgen del Pino;Virgen del;Pino;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Virgen_del_Pino
Calle Virgen del Perpetuo Socorro;Virgen del Perpetuo Socorro;Virgen del Perpetuo;Socorro;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Virgen_del_Perpetuo_Socorro
Calle Nuestra Señora de los Ángeles;Nuestra Señora de los Ángeles;Nuestra Señora de los;Ángeles;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Nuestra_Señora_de_los_Ángeles
Calle Virgen de Villadiego;Virgen de Villadiego;Virgen de;Villadiego;2;female;religiosa;unclassified;
Calle Luz Arriero;Luz Arriero;Luz;Arriero;2;female;historica;residential;https://es.wikipedia.org/wiki/Los_Arrieros
Glorieta Doña María García Montero;Glorieta Doña María García Montero;Glorieta Doña María García;Montero;2;female;politica;tertiary;
Calle La Celestina;La Celestina;La;Celestina;2;female;historica;residential;https://es.wikipedia.org/wiki/La_Celestina
Calle María Josefa Segovia;María Josefa Segovia;María Josefa;Segovia;2;female;historica;residential;
Avenida de la Mujer Trabajadora;de la Mujer Trabajadora;de la Mujer;Trabajadora;2;female;historica;tertiary;https://es.wikipedia.org/wiki/Día_de_la_mujer_trabajadora
Calle Sor Gregoria de Santa Teresa;Sor Gregoria de Santa Teresa;Sor Gregoria de Santa;Teresa;2;female;santa;residential;
Calle Victoria Domínguez Cerrato;Victoria Domínguez Cerrato;Victoria Domínguez;Cerrato;2;female;politica;tertiary;
Calle Virgen de Valvanera;Virgen de Valvanera;Virgen de;Valvanera;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Virgen_de_Valvanera
Calle Madre Isabel Moreno;Madre Isabel Moreno;Madre Isabel;Moreno;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Isabel_Moreno_Mesonero
Calle Carmen Vendrell;Carmen Vendrell;Carmen;Vendrell;2;female;historica;residential;
