calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Camarada Paulino González Mora;Camarada Paulino González Mora;Camarada;Paulino;-2;Male;-;-
Avenida Federico Mayo;Federico Mayo;Federico;Mayo;-2;Male;-;-
Calle Poeta Jesús Arcensio;Poeta Jesús Arcensio;Poeta;Jesús;-2;Male;-;-
Calle Jesús de la Pasión;Jesús Pasión;Jesús;Pasión;-2;Male;-;-
Calle Cineasta Francisco Elías;Cineasta Francisco Elías;Cineasta;Francisco;-2;Male;-;-
Calle Arcipreste Manuel González García;Arcipreste Manuel González García;Arcipreste;Manuel;-2;Male;-;-
Calle Juan de la Cosa;Juan Cosa;Juan;Cosa;-2;Male;-;-
Calle Joaquín de la Torre;Joaquín Torre;Joaquín;Torre;-2;Male;-;-
Avenida de Federico Mayo;Federico Mayo;Federico;Mayo;-2;Male;-;-
Calle San Andrés;San Andrés;San;Andrés;-2;Male;-;-
Calle Periodista Luca de Tena;Periodista Luca Tena;Periodista;Luca;-2;Male;-;-
Calle Alcalde José María Amo;AlcalJosé María Amo;AlcalJosé;María;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Jos%C3%A9_Garc%C3%ADa_Borge
Calle Jesús Nazareno;Jesús Nazareno;Jesús;Nazareno;-2;Male;-;-
Calle Jesús del Calvario;Jesús Calvario;Jesús;Calvario;-2;Male;-;-
Callejón San Andrés;San Andrés;San;Andrés;-2;Male;-;-
Calle Hernán Cortés;Hernán Cortés;Hernán;Cortés;-2;Male;-;-
Calle Carmen;Carmen;Carmen;;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_del_Carmen
Calle Carmen Conde;Carmen Conde;Carmen;Conde;2;Female;-;-
Calle Alfonso Aramburu Terrades;Alfonso Aramburu Terrades;Alfonso;Aramburu;-2;Male;-;-
Calle Antonio Borrero "Chamaco";Antonio Borrero "Chamaco";Antonio;Borrero;-2;Male;-;-
Calle Pilar Miró;Pilar Miró;Pilar;Miró;2;Female;-;-;https://es.wikipedia.org/wiki/Pilar_Mir%C3%B3
Calle Paula Santiago;Paula Santiago;Paula;Santiago;2;Female;-;-
Calle Clara Campoamor;Clara Campoamor;Clara;Campoamor;2;Female;-;-;https://es.wikipedia.org/wiki/Clara_Campoamor
Calle Antonio Rengel;Antonio Rengel;Antonio;Rengel;-2;Male;-;-
Calle Nuestro Padre Jesús del Prendimiento;Nuestro Padre Jesús Prendimiento;Nuestro;Padre;-2;Male;-;-
Calle Nazaret;Nazaret;Nazaret;;2;Female;-;-;https://es.wikipedia.org/wiki/Nazareth_Cascante
Calle Hermano Carlos "Obrero de María";Hermano Carlos "Obrero María";Hermano;Carlos;-2;Male;-;-
Calle Presbítero Pablo Rodríguez;Presbítero Pablo Rodríguez;Presbítero;Pablo;-2;Male;-;-
Avenida de José Fariñas;José Fariñas;José;Fariñas;-2;Male;-;-
Calle Camarada Jaime Beneyto;Camarada Jaime Beneyto;Camarada;Jaime;-2;Male;-;-
Calle Santísimo Cristo del Amor;Santísimo Cristo Amor;Santísimo;Cristo;-2;Male;-;-
Calle Camarada Montiel Pichardo;Camarada Montiel Pichardo;Camarada;Montiel;2;Male;-;-
Calle Federico García Lorca;Federico García Lorca;Federico;García;-2;Male;-;-
Calle Camarada Manuel María Carrasco;Camarada Manuel María Carrasco;Camarada;Manuel;-2;Male;-;-
Calle Antonio Delgado;Antonio Delgado;Antonio;Delgado;-2;Male;-;-
Calle Almirante Luis Hernández Pinzón;Almirante Luis Hernández Pinzón;Almirante;Luis;-2;Male;-;-
Calle Maestra Aurora Romero;Maestra Aurora Romero;Maestra;Aurora;2;Female;-;-
Calle Teniente de Navío Rafael Gómez Bravo;Teniente Navío Rafael Gómez Bravo;Teniente;Navío;-2;Male;-;-
Calle Pedro Alonso Niño;Pedro Alonso Niño;Pedro;Alonso;-2;Male;-;-
Calle Rodrigo de Jerez;Rodrigo Jerez;Rodrigo;Jerez;-2;Male;-;-
